Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Contact SAT1 Hapto,SAT1,0.1092063,6.733758,1.806171,0.3395109,2.678268,3.28527,0.008727202,0.007933821,6.680213,3.82,27.99945
Contact SAT1 Hapto,SAT1,0.1059416,6.598319,1.942487,0.3214496,2.710939,3.528001,0.008494284,0.008874623,6.555618,3.6125,29.02766
Contact SAT1 Hapto,SAT1,0.1260892,7.119528,1.903715,0.3084387,2.413687,3.595983,0.009326641,0.00882106,7.076894,3.645,31.30631
Contact SAT1 Hapto,SAT1,0.1219657,6.467022,1.772397,0.3395137,2.664512,3.362944,0.008131758,0.007704022,6.422455,3.7825,27.9242
Contact SAT1 Hapto,SAT1,0.1220668,7.028138,1.759376,0.3154818,2.502609,3.397903,0.009269553,0.009169008,6.980376,3.7575,30.36403
Contact SAT1 Hapto,SAT1,0.1013537,7.1587,1.714213,0.3169116,2.631821,3.549581,0.008189333,0.008564409,7.113028,3.6575,31.38238
Contact SAT1 Hapto,SAT1,0.1347365,8.536014,2.002899,0.2804623,2.457608,3.286054,0.007990957,0.008377283,8.462223,3.8275,33.69999
Contact SAT1 Hapto,SAT1,0.09683651,6.482906,1.762049,0.3465019,2.883548,3.43716,0.007926703,0.008301889,6.43735,3.695,27.55447
Contact SAT1 Hapto,SAT1,0.08822115,6.785974,1.796791,0.3373932,2.977269,3.340735,0.007706908,0.008069342,6.730638,3.7475,27.56254
Contact SAT1 Hapto,SAT1,0.1094172,7.180831,1.837574,0.3236623,2.873455,3.359321,0.007891627,0.008246578,7.122684,3.745,29.51876
Contact SAT1 Hapto,SAT1,0.1206554,7.054993,1.94408,0.3245878,2.43161,3.466541,0.008520864,0.008955614,7.001702,3.6675,29.26131
Contact SAT1 Hapto,SAT1,0.1262363,6.580652,1.792161,0.3464716,2.651319,3.437279,0.008818518,0.008314227,6.535006,3.67,27.53015
Contact SAT1 Hapto,SAT1,0.1161592,6.49539,1.779771,0.3373293,2.547803,3.478574,0.008656115,0.009076545,6.458169,3.6625,28.24188
